wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA1,2.93,RA2,0.67,0.827,0.643,2.488,84.1,55.62765204233622,34.776387534985005,3706.7594429654077,5915.411132813,3336.223876953,
WA1,0.51,RA1,2.92,0.562,0.542,2.379,82.2,59.39197889413888,38.545896439447766,4904.668515312624,6413.306152344,3417.342529297,
WA2,1.59,RA1,5.23,0.881,0.295,1.779,92.4,54.365649480204084,34.814248484207006,3305.3480387553896,5832.54296875,3323.240966797,
WA1,2.39,RA2,4.03,0.836,0.605,1.546,84.2,56.128460035449756,35.72796233916969,3866.0552330928444,5934.620117188,3334.825439453,
WA1,0.13,RA2,3.32,1.03,0.203,2.226,81.0,60.62619413987536,39.62138957563185,5297.240130071126,6542.916992188,3438.243408203,
WA1,5.16,RA1,0.43,0.714,0.501,0.918,82.2,56.31262054933341,35.5798183989244,3924.632164528595,5887.42578125,3304.015869141,
WA2,4.71,RA1,4.84,0.671,0.244,1.492,87.2,53.45711983672369,33.18710266309339,3016.3690888019846,5554.783203125,3270.583740234,
WA2,4.04,RA1,5.9,0.589,0.381,1.249,94.6,53.02173413329326,33.60918171670465,2877.8841167467517,5596.605957031,3276.268310547,
WA1,1.14,RA1,2.69,0.88,0.325,1.012,95.7,57.41241994219011,39.08249721441329,4275.0203484200165,6352.930664063,3386.057373047,
WA2,0.3,RA1,6.0,1.252,0.636,2.805,94.4,54.999347540194584,35.61920241728198,3506.9127089166413,6020.065429688,3364.268310547,
WA1,2.91,RA2,1.28,0.861,0.226,1.354,96.8,55.021018382375956,36.27609310831706,3513.806968922157,5995.21875,3332.688720703,
WA2,1.71,RA2,4.18,1.157,0.553,2.104,88.3,54.48252877598408,34.297721471889425,3342.526858229577,5792.573242188,3320.895751953,
WA1,1.31,RA2,0.35,1.162,0.227,1.181,80.9,59.950310396768565,39.10178039314811,5082.258033510251,6387.764648438,3388.923583984,
WA2,0.34,RA1,3.05,1.266,0.231,0.53,94.7,57.79318712827574,39.502457383179525,4396.131459628016,6338.623046875,3371.545654297,
WA2,5.65,RA1,3.42,1.021,0.218,0.567,91.2,53.95914046436025,34.44530307039545,3176.0484508741724,5644.470703125,3265.223876953,
